Vehicle_ID,Vehicle_Type,Age_Years,Odometer_km,Trips_Completed,Fuel_Efficiency_kmpl,Maintenance_Count,Average_Load_Percent,Average_Trip_Distance_km,Engine_Temperature,Tire_Health,Breakdown
VH1000,Truck,1,44299,220,3.11,1,47,124,85.9,96,0
VH1001,Truck,10,421208,930,2.57,15,57,258,99.1,30,1
VH1002,Truck,9,284248,2952,3.55,12,87,304,101.6,30,1
VH1003,Truck,3,115392,588,3.19,4,57,364,87.6,74,0
VH1004,Truck,2,64898,259,3.4,2,74,290,80.3,77,0
VH1005,Truck,12,480870,3156,2.81,15,78,100,98.9,30,1
VH1006,Mini Truck,11,544282,2361,7.89,15,38,66,95.9,30,1
VH1007,Van,5,120916,876,13.2,5,78,304,92.8,57,0
VH1008,Bus,11,411277,1546,2.74,14,56,293,101.9,30,1
VH1009,Truck,10,289725,2987,4.32,12,50,493,97.6,30,1
VH1010,Bus,5,246001,849,3.37,6,37,254,99.9,62,0
VH1011,Truck,6,225162,1028,2.67,6,70,237,97.3,51,0
VH1012,Bus,7,308519,1499,2.29,12,47,272,100.3,42,1
VH1013,Mini Truck,12,546491,2714,9.49,18,81,390,99.0,30,1
VH1014,Van,3,126784,745,8.55,4,36,132,87.3,70,0
VH1015,Van,11,303876,3667,10.53,12,38,414,97.0,30,1
VH1016,Bus,10,445392,2967,2.5,14,100,31,103.6,30,1
VH1017,Truck,11,501527,1972,4.42,16,73,134,100.7,30,1
VH1018,Mini Truck,7,181460,1489,5.02,6,63,532,99.9,52,0
VH1019,Van,9,235789,1942,13.05,10,94,223,101.8,41,1
VH1020,Van,6,162349,1584,13.72,7,97,20,98.0,57,1
VH1021,Mini Truck,8,165105,1098,9.65,8,69,265,98.4,51,1
VH1022,Truck,4,195082,481,2.71,5,92,90,97.3,56,0
VH1023,Van,3,146474,726,13.68,5,51,291,83.8,80,0
VH1024,Bus,4,150686,731,3.43,6,81,402,91.1,65,0
VH1025,Bus,9,416708,1215,2.5,11,38,366,95.3,36,1
VH1026,Truck,10,490414,1742,3.97,14,30,92,98.3,30,1
VH1027,Truck,4,88834,384,4.65,5,39,546,92.0,71,0
VH1028,Van,5,227248,838,11.24,8,90,268,93.2,57,0
VH1029,Bus,7,189914,753,2.19,8,85,382,93.9,41,1
VH1030,Bus,7,262427,2329,3.46,6,42,82,96.9,51,1
