Vehicle_Type,Fuel_Type,Vehicle_Age,Average_Mileage,Trip_Distance,Max_Capacity,Cargo_Weight,Traffic,Road_Type,AC,Fuel_Required
Truck,Diesel,12,3.83,774,6657,1143,Low,Mixed,0,249.35
Mini Truck,Diesel,1,6.37,636,1952,1034,Low,Mixed,0,118.18
Mini Truck,Diesel,8,8.36,734,1026,326,Medium,City,1,126.96
Van,Diesel,6,9.61,387,1278,198,Medium,Mixed,1,54.9
Truck,Petrol,9,3.37,585,9201,1291,Medium,Mixed,1,233.24
Van,Diesel,1,12.97,895,1092,163,Low,Highway,1,74.72
Bus,Petrol,11,4.67,399,0,0,Medium,Highway,1,109.55
Truck,Diesel,9,5.19,408,5677,3786,Medium,Mixed,0,110.2
Bus,Diesel,4,4.64,294,1,1,Low,Highway,1,79.91
Van,Petrol,7,14.31,166,1816,939,Medium,Highway,0,15.3
Bus,Petrol,10,3.8,161,0,0,High,City,0,61.73
Truck,Diesel,3,4.88,85,9916,9771,Medium,City,1,25.7
Bus,Diesel,11,4.44,134,1,1,Medium,City,0,46.77
Mini Truck,Diesel,12,9.5,800,2078,2050,Low,Mixed,0,113.71
Bus,Diesel,3,3.75,572,0,0,High,Highway,1,196.22
Mini Truck,Diesel,2,9.72,79,2259,980,Low,Mixed,0,8.9
Truck,Petrol,2,5.93,151,11727,2060,High,City,0,34.98
Bus,Petrol,4,4.86,750,0,0,Medium,City,1,207.17
Mini Truck,Petrol,2,6.99,41,1262,692,High,Mixed,0,7.23
Van,Diesel,2,13.25,89,620,234,Low,City,0,6.62
Van,Petrol,11,11.91,760,1604,270,High,Mixed,1,96.86
Van,Petrol,7,10.14,461,698,674,Medium,City,1,69.92
Mini Truck,Diesel,11,8.61,82,3646,403,Medium,Mixed,1,13.03
Truck,Diesel,4,3.57,452,10350,2296,Low,City,1,160.34
Van,Diesel,8,13.85,71,1627,200,High,Mixed,0,6.53
Truck,Diesel,3,4.22,905,10886,3502,Medium,Highway,0,254.89
Mini Truck,Diesel,7,7.06,453,2863,1168,High,Mixed,1,94.44
Van,Diesel,5,10.31,773,619,593,High,Highway,1,112.35
Truck,Diesel,10,4.43,78,11701,2579,High,Highway,0,23.22
Truck,Diesel,11,5.59,984,9615,1964,High,Highway,0,240.24
Truck,Petrol,11,4.75,977,11565,5183,Medium,Highway,1,275.03
Van,Petrol,7,9.79,488,1821,614,Medium,Highway,0,63.57
Mini Truck,Diesel,2,8.15,155,3072,1086,Medium,Highway,0,22.49
Bus,Petrol,3,3.88,703,1,0,High,City,0,252.39
Van,Petrol,2,14.34,298,1633,318,Medium,Mixed,0,26.65
Bus,Diesel,11,4.27,277,1,1,Low,Highway,1,85.46
Bus,Diesel,1,3.67,672,0,0,Medium,Highway,1,212.65
Mini Truck,Diesel,2,6.3,172,3830,3702,High,Highway,1,37.62
Van,Petrol,3,9.25,940,1246,81,Medium,Highway,0,114.43
Truck,Petrol,9,5.65,967,9658,2532,Low,Highway,0,194.87
Mini Truck,Diesel,3,8.95,841,2360,1686,High,Mixed,0,137.95
Bus,Diesel,12,3.22,899,0,0,Medium,Highway,0,340.82
Mini Truck,Petrol,5,9.28,44,1932,456,High,Highway,1,6.32
Bus,Petrol,2,4.93,676,1,1,High,City,1,221.77
Truck,Diesel,5,3.54,131,7349,313,High,City,1,52.91
Bus,Petrol,10,4.97,414,0,0,High,Highway,1,113.26
Truck,Petrol,1,4.56,756,11821,11253,High,Mixed,0,245.04
