Vehicle_Type,Vehicle_Age,Odometer,Maintenance_Count,Repair_Type,Severity,Parts_Available,Technician_Experience,Workshop_Load,Repair_Time_Hours
Truck,1,49299,4,Engine Repair,Low,0,12,2,67.09
Truck,10,360604,1,Oil Change,Low,0,4,9,35.93
Van,12,585706,13,Engine Repair,Medium,1,13,1,61.35
Van,12,521571,10,Transmission Repair,Low,0,13,6,88.46
Truck,7,200353,11,Electrical Repair,High,1,13,1,34.74
Mini Truck,9,257722,12,Brake Repair,High,1,14,10,46.71
Bus,10,300407,2,Oil Change,High,0,13,5,50.46
Van,2,74911,4,Battery Replacement,High,1,3,6,32.48
Bus,4,187841,4,Brake Repair,High,0,9,4,48.74
Mini Truck,7,245765,7,Electrical Repair,Low,0,14,1,38.34
Mini Truck,5,133675,3,Electrical Repair,Low,1,7,8,21.51
Van,5,143301,3,Clutch Repair,High,1,12,10,50.2
Mini Truck,10,354700,11,Engine Repair,Low,1,2,1,54.03
Truck,3,95969,10,Suspension Repair,High,0,7,7,66.83
Bus,9,228009,3,Clutch Repair,Medium,1,2,5,37.23
Mini Truck,3,134470,0,Transmission Repair,High,0,9,2,88.62
Van,3,124009,2,Clutch Repair,High,0,10,6,69.41
Truck,2,73788,4,Engine Repair,Low,0,15,10,61.97
Truck,12,554798,2,Clutch Repair,Low,0,11,8,67.33
Van,5,194163,13,Suspension Repair,Low,0,12,5,47.32
Bus,8,335679,14,Brake Repair,Low,0,2,6,44.69
Van,10,307728,0,Brake Repair,High,0,4,2,48.63
Bus,2,83695,3,Transmission Repair,High,1,4,9,80.17
Van,12,599391,18,Battery Replacement,Low,1,13,7,27.64
Van,2,56352,10,Suspension Repair,Medium,1,7,8,31.67
Truck,11,326599,1,Suspension Repair,High,1,13,2,40.19
Van,4,124931,8,Battery Replacement,Low,1,3,5,13.45
Mini Truck,4,109880,7,Clutch Repair,Low,0,11,9,45.85
Truck,4,121798,6,Battery Replacement,Medium,0,14,7,30.72
Van,7,175565,12,Transmission Repair,Medium,1,7,9,75.67
Mini Truck,3,99890,4,Engine Repair,Low,0,12,6,56.2
Truck,10,374987,16,Clutch Repair,Low,0,9,2,57.45
Truck,10,267815,7,Suspension Repair,Low,0,10,10,48.15
Truck,7,347326,10,Transmission Repair,Low,1,4,5,64.86
Mini Truck,3,114321,7,Electrical Repair,Low,0,8,10,56.49
Truck,2,85234,3,Clutch Repair,Medium,0,15,6,41.31
Van,6,224707,2,Battery Replacement,High,1,10,9,36.16
Truck,11,431960,3,Tyre Replacement,Medium,0,15,2,45.3
Van,5,161930,9,Engine Repair,High,1,4,5,66.36
Mini Truck,5,243664,13,Oil Change,Low,1,14,5,16.23
Truck,1,35929,2,Transmission Repair,Low,1,9,7,57.14
Truck,2,54931,2,Clutch Repair,Low,1,10,9,29.19
Van,7,208409,1,Transmission Repair,Medium,0,15,6,81.75
Van,11,328893,11,Clutch Repair,Medium,0,15,4,57.19
Van,7,181497,5,Electrical Repair,Medium,0,5,3,37.86
Mini Truck,1,40423,3,Engine Repair,Medium,1,5,4,46.46
Van,1,46627,3,Suspension Repair,Medium,1,14,2,16.84
Bus,6,283537,6,Clutch Repair,Medium,0,2,5,59.45
Bus,1,28552,9,Suspension Repair,Medium,1,7,10,34.47
Truck,7,326149,6,Transmission Repair,Low,1,1,9,67.64
Van,6,263062,1,Electrical Repair,High,1,11,2,32.78
Bus,9,306077,13,Electrical Repair,Medium,1,9,3,30.29
Van,7,349307,12,Tyre Replacement,High,1,7,9,43.64
Truck,5,162606,3,Suspension Repair,High,1,8,8,45.55
Mini Truck,11,387041,16,Battery Replacement,High,0,11,2,61.93
Bus,2,99226,3,Transmission Repair,Low,0,3,1,67.05
Van,8,360241,2,Battery Replacement,Medium,0,12,7,48.62
Mini Truck,4,119342,10,Oil Change,Low,1,4,3,13.07
Mini Truck,1,43265,3,Brake Repair,Medium,0,13,8,48.6
Bus,8,360603,16,Suspension Repair,High,1,15,3,47.86
Mini Truck,8,267945,7,Transmission Repair,High,1,11,4,78.42
Bus,8,220311,9,Engine Repair,Medium,1,6,9,64.03
Truck,3,94769,3,Suspension Repair,High,0,12,4,47.04
Mini Truck,7,261738,14,Suspension Repair,Low,0,14,7,52.32
Truck,10,349714,15,Oil Change,Medium,1,13,7,32.52
Mini Truck,9,420956,17,Engine Repair,Medium,0,5,7,98.72
Truck,7,263114,12,Tyre Replacement,Medium,0,10,9,42.79
Mini Truck,10,397951,0,Brake Repair,High,1,3,8,47.19
Van,1,33524,6,Electrical Repair,Low,1,6,6,18.26
Mini Truck,5,223567,13,Suspension Repair,Medium,0,8,1,56.55
Truck,6,208778,10,Brake Repair,High,0,13,1,51.71
Van,1,45359,2,Engine Repair,Low,1,11,2,39.53
Van,8,383360,8,Electrical Repair,Low,0,13,3,41.86
Truck,10,256731,9,Suspension Repair,Medium,0,2,10,67.4
Truck,12,458116,19,Brake Repair,High,0,6,9,76.74
Bus,2,83158,10,Electrical Repair,Low,1,14,8,21.88
Truck,7,269945,14,Tyre Replacement,Medium,0,12,9,51.37
Mini Truck,8,314183,8,Electrical Repair,Low,0,5,8,48.34
Mini Truck,10,409994,12,Electrical Repair,Low,1,14,6,28.48
Van,8,255605,11,Transmission Repair,Medium,1,15,10,71.48
Bus,9,227661,16,Engine Repair,Low,0,12,7,84.34
Van,12,549609,20,Battery Replacement,Medium,0,2,5,58.51
Mini Truck,12,427561,9,Electrical Repair,Medium,1,7,9,44.23
Bus,6,268946,4,Transmission Repair,Medium,0,2,4,88.85
Truck,12,580947,5,Engine Repair,Low,1,5,10,63.29
Bus,2,62721,4,Engine Repair,Medium,0,5,1,73.52
Van,5,130965,0,Clutch Repair,Medium,0,11,8,52.14
Truck,10,324537,15,Battery Replacement,Medium,1,3,1,27.5
Bus,8,229907,2,Suspension Repair,Medium,0,10,1,39.94
Van,10,498807,9,Brake Repair,Low,0,9,7,49.01
Mini Truck,8,316056,9,Suspension Repair,Medium,0,10,2,48.85
Van,5,211563,1,Tyre Replacement,Low,0,9,2,27.55
Truck,7,293096,15,Transmission Repair,Low,0,5,5,93.13
Truck,11,397381,8,Engine Repair,Medium,0,9,4,75.72
Bus,3,84359,0,Tyre Replacement,Medium,1,8,2,10.86
Mini Truck,12,459431,12,Transmission Repair,High,1,8,2,82.67
Truck,7,259494,8,Oil Change,Low,0,11,10,53.39
Truck,11,416301,18,Oil Change,Low,1,9,8,31.29
Bus,3,132132,10,Battery Replacement,Low,1,6,7,17.43
Bus,6,177420,13,Tyre Replacement,Medium,1,12,8,27.21
Bus,11,484952,17,Oil Change,Medium,0,6,5,53.42
Truck,7,309898,0,Clutch Repair,Medium,1,1,4,36.66
Bus,10,448297,15,Battery Replacement,Low,0,5,9,47.0
Bus,8,383042,15,Brake Repair,Low,0,12,3,42.23
Truck,9,331952,2,Engine Repair,Low,1,2,3,50.3
Mini Truck,12,453019,16,Transmission Repair,Medium,1,8,4,78.94
Mini Truck,9,262917,12,Engine Repair,High,0,14,2,90.6
Mini Truck,6,283100,4,Oil Change,Medium,1,14,10,25.38
Mini Truck,3,133529,8,Battery Replacement,Medium,1,9,9,24.35
Mini Truck,8,284352,6,Engine Repair,High,1,4,7,73.59
Truck,6,273987,11,Suspension Repair,Medium,0,8,1,41.3
Bus,2,78855,1,Clutch Repair,Medium,0,12,3,50.94
Van,2,80768,4,Electrical Repair,High,1,11,2,28.73
Bus,11,474234,10,Battery Replacement,High,0,10,2,61.07
Bus,4,197880,1,Suspension Repair,Low,0,8,3,38.99
Truck,1,35629,0,Transmission Repair,Medium,1,7,3,56.86
Van,9,333016,5,Tyre Replacement,Low,0,10,7,40.06
Mini Truck,10,287517,7,Battery Replacement,High,1,8,5,35.34
Truck,8,275400,5,Brake Repair,Medium,1,10,5,28.44
Mini Truck,12,431123,14,Transmission Repair,Low,1,14,8,75.22
Truck,4,149986,9,Electrical Repair,High,1,12,5,38.48
Truck,11,482516,8,Oil Change,High,0,15,10,69.81
Bus,4,179569,12,Electrical Repair,Low,0,10,5,40.3
Truck,11,295668,9,Battery Replacement,Low,1,12,3,14.55
Truck,5,167823,11,Suspension Repair,Low,0,3,9,57.85
Bus,3,108681,7,Transmission Repair,High,1,13,2,74.77
Mini Truck,2,59224,3,Suspension Repair,High,1,2,7,40.01
Truck,5,195329,1,Battery Replacement,Medium,1,10,7,18.42
Bus,2,94226,3,Battery Replacement,Low,1,15,10,13.24
Van,11,308143,14,Transmission Repair,High,1,2,3,86.97
Truck,1,34973,7,Brake Repair,Low,0,15,9,29.25
Mini Truck,8,297258,13,Tyre Replacement,Medium,0,14,8,54.81
Bus,1,47619,5,Engine Repair,Medium,1,4,6,49.85
Truck,11,467589,17,Electrical Repair,Low,1,5,4,34.12
Truck,8,224031,6,Oil Change,Low,1,4,3,14.1
Van,2,86320,3,Engine Repair,Low,1,13,3,41.76
Truck,5,237513,2,Tyre Replacement,High,1,13,3,25.51
Truck,11,288516,4,Oil Change,Medium,0,10,6,36.84
Van,5,131868,2,Suspension Repair,High,0,12,2,62.75
Mini Truck,6,284542,9,Brake Repair,Medium,0,10,1,46.98
Bus,8,368647,0,Oil Change,Medium,1,7,2,18.34
Mini Truck,12,532554,2,Brake Repair,Medium,0,2,3,53.64
Bus,7,331602,9,Battery Replacement,High,1,2,2,32.0
Van,7,293372,7,Suspension Repair,Medium,1,7,7,36.7
Truck,6,261873,5,Transmission Repair,Medium,0,11,8,84.44
Truck,2,56109,6,Brake Repair,High,1,13,3,29.42
Truck,10,397216,17,Electrical Repair,High,0,7,6,74.0
Truck,5,203696,4,Electrical Repair,Low,0,3,8,41.6
Truck,6,295821,5,Brake Repair,Medium,0,13,7,56.2
Truck,10,493553,8,Oil Change,Low,1,12,5,21.23
Bus,6,151600,2,Tyre Replacement,High,1,2,3,31.92
Truck,2,98897,8,Engine Repair,Medium,1,8,6,53.88
Van,6,231693,11,Electrical Repair,High,0,15,1,48.56
Van,10,263044,2,Transmission Repair,Medium,1,8,10,75.89
Mini Truck,7,246609,6,Clutch Repair,Low,1,7,2,29.45
Bus,11,530135,16,Transmission Repair,Low,0,7,10,91.87
Truck,4,139507,3,Tyre Replacement,Medium,1,6,2,19.03
Truck,8,395825,13,Tyre Replacement,Low,1,9,4,22.41
Bus,2,76022,0,Suspension Repair,Low,1,15,2,8.58
Bus,10,362534,18,Suspension Repair,High,1,5,2,52.54
Mini Truck,1,35642,2,Battery Replacement,High,1,2,7,28.51
Truck,4,157104,9,Suspension Repair,High,0,7,5,66.55
Van,6,194074,1,Clutch Repair,High,0,9,9,71.66
Bus,6,188716,3,Brake Repair,Low,1,4,3,14.85
Van,11,314506,5,Battery Replacement,Medium,1,11,10,32.97
Bus,11,440747,4,Battery Replacement,Low,1,8,5,21.33
Bus,10,264725,11,Clutch Repair,Low,1,8,8,42.99
Truck,1,37082,4,Brake Repair,High,0,10,10,67.96
Mini Truck,8,352129,1,Battery Replacement,High,0,6,10,67.53
Van,1,39762,1,Electrical Repair,High,0,9,3,39.49
Van,12,529511,14,Clutch Repair,High,0,6,6,82.52
Mini Truck,7,263700,1,Electrical Repair,Low,1,2,9,26.01
Mini Truck,5,158029,11,Tyre Replacement,Medium,0,10,3,42.83
Bus,11,480498,4,Brake Repair,Medium,1,11,6,31.69
Van,11,323996,13,Clutch Repair,Medium,0,6,5,64.19
Van,6,277473,3,Engine Repair,Low,0,2,5,67.43
Truck,11,451561,19,Tyre Replacement,High,1,3,3,46.54
Van,12,386790,14,Oil Change,Medium,1,11,4,32.17
Mini Truck,10,324692,14,Engine Repair,High,0,5,8,98.12
Bus,11,505999,14,Transmission Repair,Medium,1,3,4,84.3
Van,5,131839,10,Battery Replacement,Medium,0,12,9,41.47
Bus,2,60506,4,Battery Replacement,High,0,14,7,39.99
Van,8,291641,0,Suspension Repair,Low,1,9,6,23.37
Van,7,196392,11,Engine Repair,Low,1,15,2,46.63
Bus,3,93035,0,Transmission Repair,Medium,0,13,8,88.08
Truck,2,51245,4,Engine Repair,Low,1,2,5,47.24
Van,5,140970,0,Engine Repair,Medium,1,2,2,50.16
